Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
7412014353293799.0,4058282355692878.0,1584963287190990.0,4112156961104.522,0,0
7528295767574582.0,4119123649656133.0,1607533514761585.0,4217472135647.647,0,0
7644730194848208.0,4180070722631211.0,1630123660652922.8,4323941921374.2744,0,0
7761312345453396.0,4241122781016980.0,1652733603494971.5,4431560499361.975,0,0
7878037075033517.0,4302279042192794.5,1675363222406045.2,4540322088433.652,0,0
7994899380499855.0,4363538734237500.0,1698012396990533.0,4650220944590.712,0,0
8111894396108103.0,4424901095657703.0,1720681007336646.5,4761251360459.933,0,0
8229017389644711.0,4486365375124881.5,1743368934014191.0,4873407664753.74,0,0
8346263758720144.0,4547930831220920.0,1766076058072354.0,4986684221743.471,0,0
8463629027165880.0,4609596732191749.0,1788802261037515.8,5101075430745.301,0,0
8581108841532296.0,4671362355708686.0,1811547424911074.0,5216575725618.521,0,0
8698698967684532.0,4733226988637242.0,1834311432167297.5,5333179574275.775,0,0
8816395287493625.0,4795189926813047.0,1857094165751190.2,5450881478204.994,0,0
8934193795620106.0,4857250474824615.0,1879895509076376.8,5569675972002.688,0,0
9052090596387564.0,4919407945802756.0,1902715346023003.5,5689557622918.3,0,0
9170081900743586.0,4981661661216283.0,1925553560935660.2,5810521030409.305,0,0
9288164023305544.0,5044010950673891.0,1948410038621321.5,5932560825706.824,0,0
9406333379488998.0,5106455151731927.0,1971284664347294.2,6055671671391.397,0,0
9524586482716144.0,5168993609707858.0,1994177323839197.0,6179848260978.701,0,0
9642919941702310.0,5231625677499252.0,2017087903278942.8,6305085318514.929,0,0
9761330457818066.0,5294350715408067.0,2040016289302744.0,6431377598181.566,0,0
9879814822525028.0,5357168090970072.0,2062962368999133.8,6558719883909.328,0,0
9998369914883072.0,5420077178789260.0,2085926029906998.8,6687106989001.003,0,0
1.0116992699127138e+16,5483077360377040.0,2108907160013631.5,6816533755762.973,0,0
1.02356802223115e+16,5546168023996078.0,2131905647752795.2,6946995055145.173,0,0
1.0354429612019784e+16,5609348564508632.0,2154921382002800.2,7078485786389.2705,0,0
1.0473238074138676e+16,5672618383229278.0,2177954252084604.8,7211000876684.855,0,0
1.059210289069371e+16,5735976887781773.0,2201004147759917.2,7344535280833.402,0,0
1.071102141774531e+16,5799423491960071.0,2224070959229321.5,7479083980919.834,0,0
1.082999108334337e+16,5862957615593263.0,2247154577130413.5,7614641985991.449,0,0
1.0949009385538806e+16,5926578684414312.0,2270254892535946.5,7751204331744.043,0,0
1.106807389045044e+16,5990286129932560.0,2293371796951997.5,7888766080215.04,0,0
1.1187182230385592e+16,6054079389309782.0,2316505182316142.5,8027322319483.411,0,0
1.1306332102013056e+16,6117957905239725.0,2339654940995641.5,8166868163376.24,0,0
1.1425521264586762e+16,6181921125831054.0,2362820965785644.0,8307398751181.743,0,0
1.1544747538218938e+16,6245968504493537.0,2386003149907395.0,8448909247368.575,0,0
1.1664008802201174e+16,6310099499827405.0,2409201387006469.5,8591394841311.259,0,0
1.178330299337218e+16,6374313575515823.0,2432415571151000.5,8734850747021.564,0,0
1.1902628104530944e+16,6438610200220298.0,2455645596829932.5,8879272202885.707,0,0
1.2021982182893838e+16,6502988847478997.0,2478891358951283.0,9024654471407.178,0,0
1.214136332859471e+16,6567448995607881.0,2502152752840410.5,9170992838955.102,0,0
1.2260769693226586e+16,6631990127604539.0,2525429674238300.5,9318282615517.916,0,0
1.2380199478423784e+16,6696611731054689.0,2548722019299857.0,9466519134462.305,0,0
1.249965093448345e+16,6761313298041210.0,2572029684592209.0,9615697752297.193,0,0
1.2619122359025376e+16,6826094325055656.0,2595352567093025.0,9765813848442.684,0,0
1.2738612095688902e+16,6890954312912220.0,2618690564188840.0,9916862825003.84,0,0
1.285811853286609e+16,6955892766663984.0,2642043573673390.5,10068840106549.123,0,0
1.2977640102469922e+16,7020909195521479.0,2665411493745962.5,10221741139893.434,0,0
1.30971752787367e+16,7086003112773417.0,2688794223009747.0,10375561393885.58,0,0
1.3216722577061706e+16,7151174035709556.0,2712191660470205.5,10530296359200.104,0,0
1.3336280552867058e+16,7216421485545688.0,2735603705533449.5,10685941548133.291,0,0
1.3455847800500966e+16,7281744987350588.0,2759030258004624.5,10842492494403.36,0,0
1.3575422952167522e+16,7347144069974897.0,2782471218086304.0,10999944752954.582,0,0
1.3695004676886128e+16,7412618265981991.0,2805926486376897.0,11158293899765.348,0,0
1.3814591679479718e+16,7478167111580578.0,2829395963869061.5,11317535531660.031,0,0
1.3934182699591074e+16,7543790146559174.0,2852879551948124.5,11477665266124.549,0,0
1.405377651072634e+16,7609486914222256.0,2876377152390519.5,11638678741125.521,0,0
1.4173371919324962e+16,7675256961328118.0,2899888667362222.0,11800571614932.959,0,0
1.4292967763855538e+16,7741099838028355.0,2923413999417205.5,11963339565946.373,0,0
1.4412562913936552e+16,7807015097808966.0,2946953051495891.5,12126978292524.201,0,0
1.4532156269481482e+16,7873002297432908.0,2970505726923625.5,12291483512816.52,0,0
1.465174675986762e+16,7939060996884280.0,2994071929409144.5,12456850964600.887,0,0
1.4771333343127814e+16,8005190759313836.0,3017651563043067.0,12623076405121.285,0,0
1.4890915005164608e+16,8071391150985966.0,3041244532296380.5,12790155610930.074,0,0
1.5010490758986158e+16,8137661741227072.0,3064850742018943.0,12958084377732.871,0,0
1.5130059643963204e+16,8204002102375205.0,3088470097437993.0,13126858520236.281,0,0
1.5249620725106646e+16,8270411809731044.0,3112102504156660.5,13296473871998.4,0,0
1.5369173092365058e+16,8336890441510128.0,3135747868152493.5,13466926285282.072,0,0
1.5488715859941682e+16,8403437578796291.0,3159406095775992.0,13638211630910.725,0,0
1.5608248165630278e+16,8470052805496278.0,3183077093749141.5,13810325798126.828,0,0
1.5727769170169238e+16,8536735708295538.0,3206760769163962.5,13983264694452.848,0,0
1.5847278056613728e+16,8603485876615104.0,3230457029481067.0,14157024245554.648,0,0
1.5966774029725014e+16,8670302902569563.0,3254165782528214.5,14331600395107.275,0,0
1.6086256315376792e+16,8737186380926122.0,3277886936498883.5,14506989104663.064,0,0
1.6205724159977816e+16,8804135909064630.0,3301620399950848.5,14683186353522.018,0,0
1.6325176829910534e+16,8871151086938656.0,3325366081804760.0,14860188138604.402,0,0
1.6444613610985196e+16,8938231517037491.0,3349123891342739.0,15037990474325.479,0,0
1.6564033807909098e+16,9005376804349131.0,3372893738206967.0,15216589392472.346,0,0
1.668343674377036e+16,9072586556324140.0,3396675532398297.5,15395980942082.826,0,0
1.6802821759536136e+16,9139860382840388.0,3420469184274860.5,15576161189326.361,0,0
1.6922188213564472e+16,9207197896168732.0,3444274604550682.5,15757126217386.852,0,0
1.704153548112984e+16,9274598710939434.0,3468091704294313.5,15938872126347.363,0,0
1.7160862953961596e+16,9342062444109436.0,3491920394927452.5,16121395033076.742,0,0
1.7280170039795272e+16,9409588714930480.0,3515760588223586.5,16304691071117.986,0,0
1.7399456161936242e+16,9477177144917886.0,3539612196306637.0,16488756390578.408,0,0
1.751872075883537e+16,9544827357820174.0,3563475131649606.0,16673587158021.516,0,0
1.763796328367649e+16,9612538979589378.0,3587349307073235.0,16859179556360.527,0,0
1.7757183203975084e+16,9680311638352068.0,3611234635744668.5,17045529784753.61,0,0
1.7876380001188174e+16,9748144964381046.0,3635131031176119.5,17232634058500.602,0,0
1.7995553170334928e+16,9816038590067730.0,3659038407223549.5,17420488608941.39,0,0
1.8114702219627704e+16,9883992149895212.0,3682956678085345.0,17609089683355.746,0,0
1.8233826670113336e+16,9952005280411866.0,3706885758301008.5,17798433544864.67,0,0
1.835292605532419e+16,1.0020077620205636e+16,3730825562749849.0,17988516472333.17,0,0
1.847199992093895e+16,1.0088208809878948e+16,3754776006649684.5,18179334760274.473,0,0
1.859104782445273e+16,1.0156398492024104e+16,3778737005555545.0,18370884718755.562,0,0
1.8710069334856228e+16,1.022464631119935e+16,3802708475358384.0,18563162673304.133,0,0
1.882906403232375e+16,1.0292951913905382e+16,3826690332283793.0,18756164964816.81,0,0
1.8948031507909936e+16,1.0361314948562502e+16,3850682492890731.0,18949887949468.64,0,0
1.9066971363254548e+16,1.0429735065488198e+16,3874684874070245.0,19144327998623.89,0,0
1.9185883210295776e+16,1.049821191687529e+16,3898697393044207.5,19339481498747.99,0,0
1.930476667099113e+16,1.0566745156770542e+16,3922719967364056.5,19535344851320.742,0,0
1.942362137704622e+16,1.0635334441053736e+16,3946752514909539.0,19731914472750.633,0,0
1.9542446969650784e+16,1.070397942741724e+16,3970794953887462.5,19929186794290.332,0,0
1.966124309922232e+16,1.0772679775346038e+16,3994847202830449.0,20127158261953.273,0,0
1.978000942515645e+16,1.0841435146098142e+16,4018909180595702.0,20325825336431.3,0,0
1.989874561558426e+16,1.091024520268551e+16,4042980806363766.0,20525184493013.453,0,0
2.001745134713644e+16,1.0979109609855304e+16,4067061999637305.0,20725232221505.664,0,0
2.013612630471377e+16,1.104802803407159e+16,4091152680239871.5,20925965026151.605,0,0
