Time,Seconds,Minutes,Days,,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4
194880,,5.25238798107657E+017,,,,,,3.14698452571937E+017,9.23198490913034E+016,898809278957443,,,
195264,5.27822317023471E+017,,,,3.16215930401354E+017,9.29406541728478E+016,899332497075122,,,,,,
196560,,5.25562521382223E+017,,,,,,3.14769638365533E+017,9.23219369126184E+016,898809278958812,,,
196992,5.28154620519917E+017,,,,3.16289111937272E+017,9.29428034294217E+016,899332497076475,,,,,,
198240,,5.25882859835969E+017,,,,,,3.14840634617976E+017,9.23240338212012E+016,898809278959919,,,
198720,5.28483362352024E+017,,,,3.16362095908873E+017,9.29449622839244E+016,899332497077564,,,,,,
199920,,5.26199901817739E+017,,,,,,3.14911454787662E+017,9.23261397420942E+016,898809278960814,,,
200448,5.28808637997607E+017,,,,3.16434896812115E+017,9.29471306542628E+016,899332497078434,,,,,,
201600,,5.26513732928271E+017,,,,,,3.14982111715617E+017,9.23282545982532E+016,898809278961537,,,
202176,5.29130539883077E+017,,,,3.16507528459018E+017,9.29493084560932E+016,899332497079136,,,,,,
203280,,5.26824436112929E+017,,,,,,3.15052617652189E+017,9.23303783108568E+016,898809278962121,,,
203904,5.29449157489231E+017,,,,3.16580004008044E+017,9.29514956031654E+016,899332497079697,,,,,,
204960,,5.27132091751081E+017,,,,,,3.15122984282528E+017,9.2332510799581E+016,898809278962593,,,
205632,5.29764577453119E+017,,,,3.16652335993066E+017,9.29536920076308E+016,899332497080152,,,,,,
206640,,5.27436777742256E+017,,,,,,3.15193222750933E+017,9.23346519828446E+016,898809278962975,,,
207360,5.30076883666138E+017,,,,3.16724536351012E+017,9.29558975803135E+016,899332497080519,,,,,,
208320,,5.27738569589201E+017,,,,,,3.15263343684111E+017,9.23368017780266E+016,898809278963283,,,
209088,5.30386157368486E+017,,,,3.16796616448233E+017,9.29581122309517E+016,899332497080807,,,,,,
210000,,5.28037540477958E+017,,,,,,3.15333357213395E+017,9.233896010166E+016,898809278963532,,,
210816,5.30692477240153E+017,,,,3.1686858710567E+017,9.29603358684119E+016,899332497081034,,,,,,
211680,,5.2833376135509E+017,,,,,,3.15403272995981E+017,9.23411268696038E+016,898809278963733,,,
212544,5.30995919488578E+017,,,,3.16940458622881E+017,9.29625684008784E+016,899332497081227,,,,,,
213360,,5.28627301002149E+017,,,,,,3.15473100235229E+017,9.23433019971963E+016,898809278963896,,,
214272,5.31296557933094E+017,,,,3.17012240800965E+017,9.29648097360187E+016,899332497081370,,,,,,
215040,,5.28918226107506E+017,,,,,,3.15542847700064E+017,9.23454853993905E+016,898809278964028,,,
216000,5.315944640863E+017,,,,3.1708394296446E+017,9.29670597811359E+016,899332497081511,,,,,,
216720,,5.29206601335634E+017,,,,,,3.15612523743525E+017,9.2347676990875E+016,898809278964134,,,
217728,5.31889707232472E+017,,,,3.17155573982245E+017,9.29693184432931E+016,899332497081583,,,,,,
218400,,5.29492489393952E+017,,,,,,3.15682136320502E+017,9.23498766861807E+016,898809278964220,,,
219456,5.32182354503141E+017,,,,3.1722714228751E+017,9.29715856294386E+016,899332497081655,,,,,,
220080,,5.2977595109731E+017,,,,,,3.15751693004703E+017,9.23520843997755E+016,898809278964289,,,
221184,5.32472470949932E+017,,,,3.17298655896824E+017,9.29738612465004E+016,899332497081726,,,,,,
221760,,5.30057045430216E+017,,,,,,3.15821201004873E+017,9.23543000461489E+016,898809278964345,,,
