Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
226368,5.3332825612166214e+17,3.1751294284233146e+17,9.298073775402086e+16,899332497081835.9,0,0
228096,5.336088605963285e+17,3.1758431012189875e+17,9.298304616661891e+16,899332497081835.9,0,0
229824,5.338872306779297e+17,3.1765565714898656e+17,9.298536254731933e+16,899332497081835.9,0,0
231552,5.341634203282028e+17,3.1772698979585344e+17,9.298768680450446e+16,899332497081835.9,0,0
233280,5.344374818707603e+17,3.1779831362986496e+17,9.299001884698347e+16,899332497081835.9,0,0
235008,5.3470946604554477e+17,3.178696339267602e+17,9.29923585840282e+16,899332497081835.9,0,0
236736,5.3497942206135616e+17,3.1794095568334054e+17,9.299470592540482e+16,899332497081835.9,0,0
238464,5.352473976465266e+17,3.180122836295947e+17,9.299706078140109e+16,899332497081835.9,0,0
240192,5.3551343909781446e+17,3.180836222403022e+17,9.29994230628498e+16,899332497081835.9,0,0
241920,5.3577759132758035e+17,3.181549757461278e+17,9.30017926811494e+16,899332497081835.9,0,0
243648,5.3603989790931085e+17,3.182263481442328e+17,9.300416954828106e+16,899332497081835.9,0,0
245376,5.3630040112154925e+17,3.182977432084251e+17,9.300655357682374e+16,899332497081835.9,0,0
247104,5.365591419902934e+17,3.1836916449887085e+17,9.300894467996661e+16,899332497081835.9,0,0
248832,5.3681616032991674e+17,3.18440615371383e+17,9.30113427715196e+16,899332497081835.9,0,0
250560,5.370714947826675e+17,3.1851209898631245e+17,9.301374776592197e+16,899332497081835.9,0,0
252288,5.373251828567968e+17,3.185836183170528e+17,9.301615957824942e+16,899332497081835.9,0,0
254016,5.375772609633662e+17,3.1865517615817926e+17,9.301857812421994e+16,899332497081835.9,0,0
255744,5.378277644517824e+17,3.1872677513323974e+17,9.302100332019795e+16,899332497081835.9,0,0
257472,5.380767276441074e+17,3.187984177022096e+17,9.302343508319781e+16,899332497081835.9,0,0
259200,5.383241838681853e+17,3.188701061686275e+17,9.302587333088587e+16,899332497081835.9,0,0
260928,5.385701654896298e+17,3.1894184268642694e+17,9.302831798158224e+16,899332497081835.9,0,0
262656,5.388147039427167e+17,3.190136292664751e+17,9.303076895426133e+16,899332497081835.9,0,0
264384,5.390578297602134e+17,3.190854677828322e+17,9.303322616855176e+16,899332497081835.9,0,0
266112,5.392995726021952e+17,3.191573599787474e+17,9.303568954473587e+16,899332497081835.9,0,0
267840,5.395399612838672e+17,3.192293074723952e+17,9.30381590037485e+16,899332497081835.9,0,0
269568,5.3977902380244986e+17,3.193013117623718e+17,9.304063446717554e+16,899332497081835.9,0,0
271296,5.400167873631422e+17,3.193733742329574e+17,9.304311585725174e+16,899332497081835.9,0,0
273024,5.402532784042034e+17,3.1944549615915405e+17,9.304560309685848e+16,899332497081835.9,0,0
274752,5.404885226211888e+17,3.195176787115131e+17,9.304809610952109e+16,899332497081835.9,0,0
276480,5.4072254499036026e+17,3.195899229607565e+17,9.305059481940586e+16,899332497081835.9,0,0
278208,5.409553697913073e+17,3.1966222988220474e+17,9.305309915131682e+16,899332497081835.9,0,0
279936,5.411870206288067e+17,3.1973460036001626e+17,9.305560903069246e+16,899332497081835.9,0,0
281664,5.4141752045394406e+17,3.198070351912506e+17,9.305812438360208e+16,899332497081835.9,0,0
283392,5.416468915845242e+17,3.1987953508975936e+17,9.306064513674208e+16,899332497081835.9,0,0
285120,5.418751557248007e+17,3.199521006899134e+17,9.306317121743202e+16,899332497081835.9,0,0
286848,5.421023339845379e+17,3.20024732550175e+17,9.30657025536107e+16,899332497081835.9,0,0
288576,5.4232844689744275e+17,3.200974311565193e+17,9.306823907383221e+16,899332497081835.9,0,0
290304,5.4255351443897414e+17,3.201701969257121e+17,9.30707807072615e+16,899332497081835.9,0,0
292032,5.427775560435634e+17,3.202430302084524e+17,9.307332738367037e+16,899332497081835.9,0,0
293760,5.43000590621259e+17,3.203159312923816e+17,9.307587903343309e+16,899332497081835.9,0,0
295488,5.4322263657381805e+17,3.203889004049669e+17,9.307843558752206e+16,899332497081835.9,0,0
297216,5.434437118102672e+17,3.204619377162672e+17,9.308099697750347e+16,899332497081835.9,0,0
298944,5.436638337619443e+17,3.2053504334157997e+17,9.308356313553293e+16,899332497081835.9,0,0
300672,5.43883019397046e+17,3.206082173439802e+17,9.308613399435096e+16,899332497081835.9,0,0
302400,5.4410128523469485e+17,3.2068145973675386e+17,9.308870948727866e+16,899332497081835.9,0,0
304128,5.443186473585415e+17,3.207547704857282e+17,9.30912895482132e+16,899332497081835.9,0,0
305856,5.445351214299172e+17,3.208281495115062e+17,9.30938741116234e+16,899332497081835.9,0,0
307584,5.4475072270056416e+17,3.209015966916098e+17,9.309646311254518e+16,899332497081835.9,0,0
309312,5.449654660249423e+17,3.209751118625306e+17,9.309905648657739e+16,899332497081835.9,0,0
311040,5.451793658721176e+17,3.210486948216985e+17,9.310165416987702e+16,899332497081835.9,0,0
312768,5.453924363373126e+17,3.21122345329368e+17,9.310425609915509e+16,899332497081835.9,0,0
314496,5.4560469115300544e+17,3.211960631104246e+17,9.310686221167198e+16,899332497081835.9,0,0
316224,5.458161436997433e+17,3.212698478561183e+17,9.31094724452333e+16,899332497081835.9,0,0
317952,5.460268070165532e+17,3.21343699225725e+17,9.311208673818522e+16,899332497081835.9,0,0
319680,5.4623669381103245e+17,3.2141761684813734e+17,9.311470502941045e+16,899332497081835.9,0,0
321408,5.464458164691123e+17,3.2149160032339155e+17,9.311732725832355e+16,899332497081835.9,0,0
323136,5.466541870645253e+17,3.21565649224131e+17,9.311995336486694e+16,899332497081835.9,0,0
324864,5.4686181736792877e+17,3.216397630970073e+17,9.312258328950646e+16,899332497081835.9,0,0
326592,5.470687188557611e+17,3.2171394146402534e+17,9.31252169732271e+16,899332497081835.9,0,0
328320,5.4727490271881056e+17,3.2178818382383155e+17,9.312785435752878e+16,899332497081835.9,0,0
330048,5.4748037987050643e+17,3.218624896529494e+17,9.313049538442222e+16,899332497081835.9,0,0
331776,5.476851609549425e+17,3.219368584069626e+17,9.313313999642458e+16,899332497081835.9,0,0
333504,5.4788925635465274e+17,3.220112895216505e+17,9.313578813655554e+16,899332497081835.9,0,0
335232,5.4809267619814445e+17,3.220857824140778e+17,9.313843974833309e+16,899332497081835.9,0,0
336960,5.482954303671659e+17,3.221603364836351e+17,9.314109477576934e+16,899332497081835.9,0,0
338688,5.4849752850376595e+17,3.22234951113038e+17,9.314375316336658e+16,899332497081835.9,0,0
340416,5.4869898001712666e+17,3.22309625669288e+17,9.314641485611317e+16,899332497081835.9,0,0
342144,5.488997940901762e+17,3.2238435950458714e+17,9.314907979947966e+16,899332497081835.9,0,0
343872,5.4909997968599597e+17,3.224591519572213e+17,9.315174793941456e+16,899332497081835.9,0,0
345600,5.492995455540267e+17,3.2253400235240237e+17,9.315441922234069e+16,899332497081835.9,0,0
347328,5.4949850023607674e+17,3.226089100030758e+17,9.315709359515114e+16,899332497081835.9,0,0
349056,5.4969685207214835e+17,3.2268387421069696e+17,9.315977100520522e+16,899332497081835.9,0,0
350784,5.498946092060742e+17,3.227588942659711e+17,9.316245140032501e+16,899332497081835.9,0,0
352512,5.500917795909837e+17,3.228339694495691e+17,9.316513472879112e+16,899332497081835.9,0,0
354240,5.5028837099460026e+17,3.229090990328035e+17,9.316782093933922e+16,899332497081835.9,0,0
355968,5.504843910043685e+17,3.2298428227828685e+17,9.317050998115594e+16,899332497081835.9,0,0
357696,5.506798470324289e+17,3.230595184405515e+17,9.317320180387536e+16,899332497081835.9,0,0
359424,5.50874746320435e+17,3.2313480676665766e+17,9.317589635757525e+16,899332497081835.9,0,0
361152,5.510690959442237e+17,3.2321014649675686e+17,9.317859359277381e+16,899332497081835.9,0,0
362880,5.512629028183443e+17,3.2328553686465114e+17,9.318129346042501e+16,899332497081835.9,0,0
364608,5.5145617370044326e+17,3.2336097709831635e+17,9.318399591191616e+16,899332497081835.9,0,0
366336,5.5164891519552006e+17,3.2343646642040576e+17,9.318670089906333e+16,899332497081835.9,0,0
368064,5.518411337600507e+17,3.235120040487312e+17,9.318940837410829e+16,899332497081835.9,0,0
369792,5.520328357059872e+17,3.235875891967318e+17,9.319211828971502e+16,899332497081835.9,0,0
371520,5.522240272046352e+17,3.236632210739138e+17,9.31948305989662e+16,899332497081835.9,0,0
373248,5.524147142904122e+17,3.237388988862733e+17,9.319754525535986e+16,899332497081835.9,0,0
374976,5.5260490286449664e+17,3.2381462183670214e+17,9.320026221280437e+16,899332497081835.9,0,0
376704,5.527945986983635e+17,3.238903891253775e+17,9.320298142561829e+16,899332497081835.9,0,0
378432,5.529838074372143e+17,3.239661999501329e+17,9.320570284852363e+16,899332497081835.9,0,0
380160,5.531725346033074e+17,3.240420535068138e+17,9.3208426436645e+16,899332497081835.9,0,0
381888,5.5336078559918317e+17,3.241179489896153e+17,9.32111521455034e+16,899332497081835.9,0,0
383616,5.5354856571079955e+17,3.241938855914134e+17,9.321387993101763e+16,899332497081835.9,0,0
385344,5.53735880110569e+17,3.242698625040732e+17,9.321660974949512e+16,899332497081835.9,0,0
387072,5.539227338603098e+17,3.2434587891874336e+17,9.321934155763258e+16,899332497081835.9,0,0
388800,5.541091319141071e+17,3.244219340261433e+17,9.32220753125135e+16,899332497081835.9,0,0
390528,5.5429507912109114e+17,3.244980270168346e+17,9.322481097160195e+16,899332497081835.9,0,0
392256,5.544805802281325e+17,3.245741570814801e+17,9.322754849274016e+16,899332497081835.9,0,0
393984,5.546656398824622e+17,3.246503234110914e+17,9.32302878341449e+16,899332497081835.9,0,0
395712,5.5485026263421037e+17,3.247265251972669e+17,9.323302895440915e+16,899332497081835.9,0,0
