Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
1316,4.843299979699928e+17,3.070433426287288e+17,9.214796189621963e+16,898791992036210.9,0,0
1344,4.854574111968016e+17,3.0726908341692525e+17,9.215534148682619e+16,898795309013286.4,0,0
1372,4.8655463172917126e+17,3.0748658100436416e+17,9.216205626476323e+16,898797989536234.4,0,0
1400,4.876228512152666e+17,3.076963018910578e+17,9.216818187174746e+16,898800155726445.9,0,0
1428,4.8866319776430566e+17,3.078986810385147e+17,9.217378536543608e+16,898801906272934.1,0,0
1456,4.8967674088050394e+17,3.0809412450906643e+17,9.217892622491637e+16,898803320928485.1,0,0
1484,4.90664495867875e+17,3.0828301184267834e+17,9.218365723224851e+16,898804464143099.4,0,0
1512,4.916274277753367e+17,3.084656982006568e+17,9.218802524645618e+16,898805388000255.4,0,0
1540,4.9256645494128774e+17,3.0864251630207296e+17,9.219207188399797e+16,898806134589770.4,0,0
1568,4.9348245218817e+17,3.088137781756024e+17,9.219583411776414e+16,898806737925362.8,0,0
1596,4.94376253710285e+17,3.089797767467532e+17,9.219934480496046e+16,898807225494273.5,0,0
1624,4.952486556920037e+17,3.0914078727810624e+17,9.220263315281706e+16,898807619509554.4,0,0
1652,4.961004186883477e+17,3.0929706867811155e+17,9.220572512984749e+16,898807937922066.1,0,0
1680,4.9693226979553216e+17,3.094488646921973e+17,9.220864382935248e+16,898808195238298.6,0,0
1708,4.977449046353455e+17,3.095964049883545e+17,9.221140979097949e+16,898808403181269.2,0,0
1736,4.985389891740726e+17,3.097399061479905e+17,9.22140412853946e+16,898808571224608.5,0,0
1764,4.9931516139396474e+17,3.098795725716249e+17,9.221655456647395e+16,898808707024168.6,0,0
1792,5.000740328329481e+17,3.100155973079305e+17,9.221896409486314e+16,898808816766813.4,0,0
1820,5.0081619000628563e+17,3.101481628136892e+17,9.22212827362708e+16,898808905452285.2,0,0
1848,5.0154219572219264e+17,3.102774416514038e+17,9.222352193744542e+16,898808977120987.6,0,0
1876,5.022525903019525e+17,3.1040359713056966e+17,9.222569188242336e+16,898809035038059.9,0,0
1904,5.029478927138083e+17,3.105267838979764e+17,9.222780163132058e+16,898809081842134.4,0,0
1932,5.036286016288071e+17,3.106471484818274e+17,9.222985924366901e+16,898809119665547.9,0,0
1960,5.0429519640582976e+17,3.107648297939702e+17,9.223187188805835e+16,898809150231489.5,0,0
1988,5.049481380122162e+17,3.108799595940752e+17,9.223384593963645e+16,898809174932506.6,0,0
2016,5.05587869885674e+17,3.109926629192068e+17,9.223578706683974e+16,898809194893947.9,0,0
2044,5.062148187425346e+17,3.1110305848187866e+17,9.223770030856394e+16,898809211025232.6,0,0
2072,5.068293953368759e+17,3.1121125903936915e+17,9.223959014284666e+16,898809224061282.8,0,0
2100,5.074319951745487e+17,3.1131737173679597e+17,9.224146054800912e+16,898809234596004.6,0,0
2128,5.0802299918573075e+17,3.114214984262001e+17,9.224331505709635e+16,898809243109347.8,0,0
