Isotope,Branching Frac.,Half Life,Gamma Emitter (Y/N),Max Significant Gamma Energy (MeV),Gamma Frequency,Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frac.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frc.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product,Branching Frc.,Half Life,Gamma Emitter,Max Significant Gamma Energy (MeV),Gamma Frequency,Daughter Decay Product
I-131,,8.0207d,Y,"0.3645 * 0.817, 0.7229 * 0.0177, 0.6370 * 0.0717, 0.2843 * 0.0614",,Xe-131m,0.0118,11.84d,Y,0.1639,0.0195,Xe-131 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-132,,2.295h,Y,"1.3986 * 0.0701, 2.0022 * 0.0114, 1.9211 * 0.0123, 1.4426 * 0.0140, 1.3721 * 0.0247, 1.2951 * 0.0188, 1.2908 * 0.0113, 1.1729 * 0.0109, 1.1433 * 0.0135, 1.1360 * 0.0301, 0.9546 * 0.1760, 0.8766 * 0.0104, 0.7726 * 0.7560, 0.7272 * 0.0320, 0.7270 * 0.0220, 0.6714 * 0.0350, 0.6698 * 0.0460, 0.6677 * 0.9870, 0.6302 * 0.1330, 0.5227 * 0.1600",,Xe-132 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-133,,20.8h,Y,"0.8753 * 0.0451, 1.2982 * 0.0235, 1.2364 * 0.0151, 0.8563 * 0.0124, 0.7066 * 0.0151, 0.5299 * 0.8700",,Xe-133,9.71E-01,5.243d,Y,0.081,0.38,Cs-133(stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Xe-133m,0.0288,2.19d,Y,0.2332,0.1,Xe-133,,5.243d,Y,0.081,0.38,Cs-133(stable),,,,,,,,,,,,,,,,,,,,,,,,
I-133m,,9s,Y,,,I-133,,20.8h,Y,"0.8753 * 0.0451, 1.2982 * 0.0235, 1.2364 * 0.0151, 0.8563 * 0.0124, 0.7066 * 0.0151, 0.5299 * 0.8700",,Xe-133,9.71E-01,5.243d,Y,0.081,0.38,Cs-133(stable),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Xe-133m,0.0288,2.19d,Y,0.2332,0.1,Xe-133,,5.243d,Y,0.081,0.38,Cs-133(stable),,,,,,,,,,,,,,,,,,
I-134,,52.5m,Y,"0.4055*0.0735, 0.5954*0.111, 0.8470*0.954, 1.8068*0.0553",,Xe-134 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-135,,6.57h,Y,"0.5466*0.0715, 1.0388*0.079, 1.1315*0.226,1.2604*0.287, 1.7912*0.0772",,Xe-135,0.834,9.14h,Y,"0.2498 * 0.9, 0.6082 * 0.0290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Xe-135m,0.166,15.29m,Y,0.5266,0.8,Xe-135,0.994,9.14h,Y,"0.2498 * 0.9, 0.6082 * 0.0290",,,,,,,,,,,,,,,,,,,,,,,,,,
I-136,,1.39m,Y,,,Xe-136 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-136m,,47 s,Y,,,I-136,,1.39m,Y,,,Xe-136 (stable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-137,,24.5s,Y,,,Xe-137,,3.818m,Y,,,Cs-137,,30.1671y,N,,,Ba-137m,0.944,2.552m,Y,0.6617,0.9011,Ba-137(stable),,,,,,,,,,,,,,,,,,
